Bedroom,LGA,Period,Affordable,Percent
1br,Bass Coast,2010-06-01 00:00:00,0,0
1br,Bass Coast,2010-09-01 00:00:00,0,0
1br,Bass Coast,2010-12-01 00:00:00,0,0
1br,Bass Coast,2011-03-01 00:00:00,0,0
1br,Bass Coast,2011-06-01 00:00:00,2,0.091
1br,Bass Coast,2011-09-01 00:00:00,0,0
1br,Bass Coast,2011-12-01 00:00:00,0,0
1br,Bass Coast,2012-03-01 00:00:00,0,0
1br,Bass Coast,2012-06-01 00:00:00,1,0.043
1br,Bass Coast,2012-09-01 00:00:00,6,0.333
1br,Bass Coast,2012-12-01 00:00:00,0,0
1br,Bass Coast,2013-03-01 00:00:00,1,0.091
1br,Bass Coast,2013-06-01 00:00:00,0,0
1br,Bass Coast,2013-09-01 00:00:00,1,0.071
1br,Bass Coast,2014-03-01 00:00:00,0,0
1br,Bass Coast,2014-06-01 00:00:00,0,0
1br,Bass Coast,2014-09-01 00:00:00,1,0.063
1br,Bass Coast,2014-12-01 00:00:00,0,0
1br,Bass Coast,2015-03-01 00:00:00,0,0
1br,Bass Coast,2015-06-01 00:00:00,0,0
1br,Bass Coast,2015-09-01 00:00:00,1,0.056
1br,Bass Coast,2015-12-01 00:00:00,0,0
1br,Bass Coast,2016-03-01 00:00:00,0,0
1br,Bass Coast,2016-06-01 00:00:00,0,0
1br,Bass Coast,2016-09-01 00:00:00,0,0
1br,Bass Coast,2016-12-01 00:00:00,0,0
1br,Bass Coast,2017-03-01 00:00:00,0,0
1br,Bass Coast,2017-09-01 00:00:00,0,0
1br,Bass Coast,2017-12-01 00:00:00,1,0.083
1br,Bass Coast,2018-03-01 00:00:00,2,0.118
1br,Bass Coast,2018-06-01 00:00:00,0,0
1br,Bass Coast,2018-09-01 00:00:00,0,0
1br,Bass Coast,2018-12-01 00:00:00,0,0
1br,Bass Coast,2019-03-01 00:00:00,0,0
1br,Bass Coast,2019-06-01 00:00:00,0,0
1br,Bass Coast,2019-09-01 00:00:00,0,0
1br,Bass Coast,2019-12-01 00:00:00,0,0
1br,Bass Coast,2020-03-01 00:00:00,0,0
1br,Bass Coast,2020-06-01 00:00:00,0,0
1br,Bass Coast,2020-09-01 00:00:00,0,0
1br,Bass Coast,2020-12-01 00:00:00,0,0
1br,Bass Coast,2021-03-01 00:00:00,0,0
1br,Bass Coast,2021-06-01 00:00:00,0,0
1br,Bass Coast,2021-09-01 00:00:00,1,0.111
1br,Bass Coast,2021-12-01 00:00:00,2,0.286
1br,Bass Coast,2022-03-01 00:00:00,0,0
1br,Bass Coast,2022-06-01 00:00:00,0,0
1br,Bass Coast,2022-09-01 00:00:00,1,0.2
1br,Bass Coast,2022-12-01 00:00:00,0,0
1br,Bass Coast,2023-03-01 00:00:00,0,0
1br,Bass Coast,2023-06-01 00:00:00,0,0
1br,Bass Coast,2023-09-01 00:00:00,0,0
1br,Bass Coast,2023-12-01 00:00:00,0,0
1br,Bass Coast,2024-03-01 00:00:00,0,0
1br,Bass Coast,2024-06-01 00:00:00,1,0.143
1br,Bass Coast,2024-09-01 00:00:00,1,0.1
1br,Bass Coast,2024-12-01 00:00:00,0,0
1br,Bass Coast,2025-03-01 00:00:00,0,0
1br,Baw Baw,2000-03-01 00:00:00,9,0.692
1br,Baw Baw,2000-06-01 00:00:00,8,0.667
1br,Baw Baw,2000-09-01 00:00:00,10,0.714
1br,Baw Baw,2000-12-01 00:00:00,8,0.889
1br,Baw Baw,2001-03-01 00:00:00,11,0.786
1br,Baw Baw,2001-06-01 00:00:00,11,0.917
1br,Baw Baw,2001-09-01 00:00:00,4,0.667
1br,Baw Baw,2001-12-01 00:00:00,8,0.8
1br,Baw Baw,2002-03-01 00:00:00,10,0.833
1br,Baw Baw,2002-06-01 00:00:00,9,0.75
1br,Baw Baw,2002-09-01 00:00:00,8,0.8
1br,Baw Baw,2002-12-01 00:00:00,8,0.8
1br,Baw Baw,2003-03-01 00:00:00,5,0.833
1br,Baw Baw,2003-06-01 00:00:00,5,0.5
1br,Baw Baw,2003-09-01 00:00:00,6,0.6
1br,Baw Baw,2003-12-01 00:00:00,5,0.833
1br,Baw Baw,2004-03-01 00:00:00,4,0.444
1br,Baw Baw,2004-06-01 00:00:00,4,0.667
1br,Baw Baw,2004-09-01 00:00:00,13,0.867
1br,Baw Baw,2004-12-01 00:00:00,8,0.889
